団体コード,団体名,powered_by,パッケージリストのURI,PDFサンプルデータURI,サイトのURL,備考
10006,北海道,Shirasagi,https://www.harp.lg.jp/opendata/api/package_list,https://www.harp.lg.jp/opendata/dataset/1873/resource/5338/%E3%80%90%E6%A0%B9%E5%AE%A4%E5%B8%82%E3%80%91%E8%87%AA%E5%8B%95%E8%BB%8A%E5%AD%A6%E6%A0%A1%E6%95%B7%E5%9C%B0%EF%BC%88%E5%B1%8B%E5%A4%96%E3%83%BB%E5%B1%8B%E5%86%85%E7%B7%B4%E7%BF%92%E5%A0%B4%EF%BC%89.pdf,https://www.harp.lg.jp/opendata/,説明なし
20001,青森県,Shirasagi,https://opendata.pref.aomori.lg.jp/api/package_list,https://opendata.pref.aomori.lg.jp/dataset/2059/resource/24945/%E8%B3%87%E6%96%99-2022%E5%B9%B4%E5%BA%A6%EF%BC%88%E4%BB%A4%E5%92%8C4%E5%B9%B4%E5%BA%A6%EF%BC%89.pdf,https://opendata.pref.aomori.lg.jp/,
30007,岩手県,CGI,https://www.pref.iwate.jp/cgi-opd/opendata.cgi?category=0&ys=0&ms=0&ds=0&ye=0&me=0&de=0&text=&format=0&license=0&group=0&sort=2#kekka,https://www.pref.iwate.jp/_res/projects/default_project/_page_/001/067/285/nintei_20231101.pdf,https://www.pref.iwate.jp/opendata/index.html,
40002,宮城県,data eye,https://miyagi.dataeye.jp/ckan_api/package_list,https://www.pref.miyagi.jp/documents/27775/20231101_suikei.pdf,https://miyagi.dataeye.jp/,CKAN互換
50008,秋田県,CKAN,https://ckan.pref.akita.lg.jp/api/3/action/package_list,,https://opendata.pref.akita.lg.jp/,
60003,山形県,CMS,,,http://www.pref.yamagata.jp/ou/kikakushinko/020051/opendata.html,
70009,福島県,CMS,,https://www.pref.fukushima.lg.jp/uploaded/attachment/594794.pdf,https://www.pref.fukushima.lg.jp/sec/11045a/open-data-top.html,
80004,茨城県,CMS,,https://www.pref.ibaraki.jp/hokenfukushi/jinzai/ikusei/isei/div/nurse/base/documents/r2syuugyoujyoukyou.pdf,http://www.pref.ibaraki.jp/kikaku/joho/it/opendata/od-00.html,
90000,栃木県,BODIK,https://data.bodik.jp/api/3/action/package_search?q=organization:090000,,https://odcs.bodik.jp/090000/,
100005,群馬県,CMS,,https://www.pref.gunma.jp/uploaded/attachment/149969.pdf,https://www.pref.gunma.jp/07/b2700057.html,
110001,埼玉県,CKAN,https://opendata.pref.saitama.lg.jp/data/api/3/action/package_list,,https://opendata.pref.saitama.lg.jp/,県内自治体分
120006,千葉県,CMS,,https://www.pref.chiba.lg.jp/haishi/saisei-jigyousha/documents/saisei20210331.pdf,https://www.pref.chiba.lg.jp/gyoukaku/opendata/index.html,
130001,東京都,CKAN,https://catalog.data.metro.tokyo.lg.jp/api/3/action/package_list,,http://opendata-portal.metro.tokyo.jp/www/index.html,都内自治体分
140007,神奈川県,CMS,,https://www.pref.kanagawa.jp/documents/49996/01iryoushitei20231127.pdf,http://www.pref.kanagawa.jp/cnt/f534212/,
150002,新潟県,CMS,,https://www.pref.niigata.lg.jp/uploaded/attachment/382159.pdf,https://www.pref.niigata.lg.jp/site/opendata/,
160008,富山県,CKAN,https://opendata.pref.toyama.jp/api/3/action/package_list,https://www.pref.toyama.jp/documents/7293/hikitori_r5_4_3.pdf,http://opendata.pref.toyama.jp/,
170003,石川県,CMS,,https://www.pref.ishikawa.lg.jp/opendata/documents/kyouryokusisetuitiranr40221.pdf,https://www.pref.ishikawa.lg.jp/opendata/,
180009,福井県,CMS,,,http://www.pref.fukui.lg.jp/doc/toukei-jouhou/opendata/,
